Timestamp,ID,Rank,Title,Artist,Genre,Album,Number of Plays
11/5/2025 21:06:55,Aurora,7,Break,Alex G,Indie,unreleased track,500
11/6/2025 15:12:40,Mia,5,Nintendo 64,Alex G,Indie,before i leave,150
11/6/2025 15:13:04,Mia,6,Mary,Alex G,Indie,Trick,200
11/6/2025 15:13:51,Mia,7,Velvet Ring,Big Thief,Indie,Masterpiece,200
11/6/2025 15:14:32,Mia,8,Sober to Death,Car Seat Headrest,Indie,Twin Fantasy,300
11/5/2025 18:03:06,Violet,7,"Eventually, Darling",Declan KcKenna,Indie,Zeros,30
11/7/2025 21:03:49,Elias,7,take a slice,glass animals,Indie,how to be a human being,35
11/3/2025 15:27:30,Isabella,6,Daddy Cop,Zander Hawley,Indie,"Daddy Cop (From the TV Show ""The Rookie"")",150
11/4/2025 14:10:55,Levi,1,F1,Hans Zimmer,Instrumental,F1 The Album,200
11/4/2025 14:19:35,Levi,4,"Battlefield 4 ""Warsaw"" Theme",Reyan & Rami,Instrumental,Battlefield 4 (Original Soundtrack),200
11/4/2025 14:20:37,Levi,5,Top Gun Anthem,Harold Faltermeyer & Steve Stevens,Instrumental,Top Gun (Original Motion Picture Soundtrack),200
11/4/2025 14:22:27,Levi,6,Arrival To Earth,Steve Jablonsky,Instrumental,Transformers: The Score,300
11/3/2025 15:08:48,Noah,5,The Cat On The Roof,Nouvelle Story,Jazz,Vengeance,300
11/3/2025 15:09:26,Noah,6,Rush,SEATBELTS,Jazz,COWBOY BEBOP (Original Motion Picture Soundtrack),150
11/3/2025 15:12:01,Noah,10,Birthing,Swans,Jazz,Birthing,7
11/5/2025 15:10:26,Luna,5,Jennsong,Adam Meckler,Jazz,Magnificent Madness,95
11/7/2025 23:19:18,Dylan,6,Welcome To My Bistro,Yoo Jongho,Jazz,Dave The Diver OST,500
11/7/2025 23:21:50,Dylan,9,The very thought of you,Rudy Winston,Jazz,Single,40
11/3/2025 15:07:51,Mia,1,It's Oh so Quiet,Björk,Jazz,Post,200
11/6/2025 15:02:32,Ethan,4,Sugar/Tzu,black midi,Jazz,Hellfire,30
11/7/2025 19:45:35,Luca,4,Somethin' Stupid,Frank Sinatra,Jazz,The World We Knew,40
11/4/2025 13:03:27,Camila,2,REVOLVER,Lil Darkie,Jazz,Single,850
11/3/2025 15:10:56,Noah,8,When The Sun Loves The Moon,Reinaeiry,Jazz,When The Sun Loves The Moon,350
11/3/2025 20:43:46,Sofia,2,Vivir Mi Vida,Marc Anthony,Pop,3,300
11/4/2025 12:57:52,Camila,7,No Sudden Movement,Five Finger Death Punch,Metal,Got Your Six,600
11/7/2025 20:53:54,Lily,2,Details Matter,Northlane,Metal,Alien,240
11/3/2025 16:05:39,Lucas,5,Enter Sandman,Metallica,Metal,Metallica,40
11/3/2025 15:31:43,Isabella,8,Through the Fire and the Flames,Dragonforce,Metal,Inhuman Rampage,300
11/3/2025 15:34:54,Isabella,10,Bury the Light,Casey Edwards,Metal,Bury the Light,500
11/4/2025 14:26:52,Levi,10,Iridescent,LINKIN PARK,Metal,A Thousand Suns,300
11/5/2025 15:09:39,Luna,4,duality,Slipknot,Metal,Vol. 3: The Subliminal Verses,105
11/5/2025 15:13:12,Luna,7,Psychosocial,Slipknot,Metal,All Hope Is Gone,76
11/6/2025 11:56:14,Michael,10,One,Metallica,Metal,...And Justice For All,75
11/7/2025 20:55:46,Lily,4,Hearts Divided,Renascentia,Metal,Dead Reflections - EP,200
